srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,firstTime,flast,blast,class
192.168.56.1,52538,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,2,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318804,1276318918,1276318918,attack
192.168.56.1,52193,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,76,29,122,122,122,122,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318797,1276318919,1276318919,attack
192.168.56.1,52901,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318812,1276318919,1276318919,attack
192.168.56.1,52979,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,1,5,53,12,2,17,75,28,107,107,107,107,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318813,1276318920,1276318920,attack
192.168.56.1,52656,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,54,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318807,1276318921,1276318921,attack
192.168.1.104,16281,174.35.52.80,80,6,11,789,12,4212,40,71,132,42,40,351,1056,399,0,1,6,2,5,1,6,2,12,12,12,12,0,0,0,0,0,11,789,12,4212,4,6,0,0,448,488,0,1276318909,1276318921,1276318921,normal
192.168.56.1,52311,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,121,121,121,121,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318800,1276318921,1276318921,attack
192.168.56.1,52705,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,113,113,113,113,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318808,1276318921,1276318921,attack
192.168.2.110,1883,69.84.133.138,80,6,13,624,18,22071,40,48,136,26,40,1226,1420,463,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,13,624,18,22071,1,1,0,0,528,728,0,1276318921,1276318922,1276318922,normal
192.168.2.110,1885,69.84.133.138,80,6,13,636,18,22071,40,48,148,29,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,636,18,22071,1,1,0,0,528,728,0,1276318922,1276318922,1276318922,normal
192.168.56.1,53047,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318815,1276318922,1276318922,attack
192.168.2.110,1887,69.84.133.138,80,6,15,779,18,22071,40,51,139,24,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,779,18,22071,1,1,0,0,680,728,0,1276318922,1276318922,1276318922,normal
192.168.2.110,1888,69.84.133.138,80,6,13,630,18,22071,40,48,142,28,40,1226,1420,463,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,630,18,22071,1,1,0,0,528,728,0,1276318922,1276318923,1276318923,normal
192.168.56.1,51579,75.127.97.72,80,6,23,17172,7,400,52,746,1500,737,40,57,60,7,2,6,54,12,1,17,76,29,138,138,138,138,0,0,0,0,0,23,17172,7,400,0,0,0,0,1244,400,0,1276318785,1276318923,1276318923,attack
192.168.1.104,16274,174.35.52.82,80,6,35,2749,48,31235,40,78,210,57,40,650,1500,616,0,0,5,1,1,0,5,1,21,21,21,21,0,0,0,0,0,35,2749,48,31235,12,22,0,0,1408,1928,0,1276318902,1276318923,1276318923,normal
192.168.1.104,16283,174.35.52.82,80,6,7,450,6,1928,40,64,132,39,40,321,1402,544,0,2,8,3,5,2,8,3,13,13,13,13,0,0,0,0,0,7,450,6,1928,2,2,0,0,288,248,0,1276318910,1276318923,1276318923,normal
192.168.4.121,51795,192.168.5.122,143,6,22,1253,43,4208,40,56,87,16,40,97,349,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1253,43,4208,18,38,0,0,892,1744,0,1276318923,1276318923,1276318923,normal
192.168.4.121,51796,192.168.5.122,143,6,14,726,28,3506,40,51,73,10,40,125,353,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,726,28,3506,10,24,0,0,572,1144,0,1276318923,1276318923,1276318923,normal
192.168.4.121,51797,192.168.5.122,143,6,14,719,28,3506,40,51,73,9,40,125,353,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,719,28,3506,10,24,0,0,572,1144,0,1276318923,1276318923,1276318923,normal
192.168.56.1,53116,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,2,5,54,12,1,17,76,29,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318816,1276318924,1276318924,attack
192.168.56.1,52822,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,2,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318810,1276318924,1276318924,attack
192.168.4.121,51798,192.168.5.122,143,6,15,951,30,4988,40,63,212,42,40,166,506,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,951,30,4988,11,26,0,0,612,1224,0,1276318924,1276318924,1276318924,normal
192.168.4.121,51799,192.168.5.122,143,6,15,957,30,4778,40,63,212,42,40,159,492,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,957,30,4778,11,26,0,0,612,1224,0,1276318924,1276318924,1276318924,normal
192.168.4.121,51800,192.168.5.122,143,6,15,956,30,4670,40,63,212,42,40,155,548,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,956,30,4670,11,26,0,0,612,1224,0,1276318924,1276318924,1276318924,normal
192.168.1.104,16291,204.13.200.58,80,6,9,475,10,9578,40,52,147,35,40,957,1500,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,475,10,9578,1,1,0,0,368,408,0,1276318925,1276318925,1276318925,normal
192.168.4.121,51794,65.54.81.165,80,6,6,848,4,339,40,141,636,242,40,84,207,81,4,3,11,4,4,1,4,2,15,15,15,15,0,0,0,0,0,6,848,4,339,1,1,0,0,252,172,0,1276318910,1276318925,1276318914,normal
192.168.56.1,51688,75.127.97.72,80,6,23,17172,7,400,52,746,1500,737,40,57,60,7,1,6,53,11,2,17,75,28,138,138,138,138,0,0,0,0,0,23,17172,7,400,0,0,0,0,1244,400,0,1276318787,1276318925,1276318925,attack
192.168.1.104,16292,204.13.200.58,80,6,9,475,10,9578,40,52,147,35,40,957,1500,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,475,10,9578,1,1,0,0,368,408,0,1276318925,1276318925,1276318925,normal
192.168.56.1,52508,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,121,121,121,121,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318804,1276318925,1276318925,attack
192.168.56.1,52547,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,121,121,121,121,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318805,1276318926,1276318926,attack
192.168.56.1,52566,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,2,5,54,12,1,17,76,29,122,122,122,122,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318805,1276318927,1276318927,attack
192.168.56.1,52988,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,113,113,113,113,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318814,1276318927,1276318927,attack
192.168.56.1,53008,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,2,5,54,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318814,1276318928,1276318928,attack
192.168.56.1,53056,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,2,5,54,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318815,1276318929,1276318929,attack
192.168.56.1,53066,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318815,1276318929,1276318929,attack
192.168.56.1,51926,75.127.97.72,80,6,23,17172,7,400,52,746,1500,737,40,57,60,7,1,6,54,12,1,17,75,28,138,138,138,138,0,0,0,0,0,23,17172,7,400,0,0,0,0,1244,400,0,1276318792,1276318930,1276318930,attack
192.168.56.1,51935,75.127.97.72,80,6,23,17172,7,400,52,746,1500,737,40,57,60,7,1,6,53,12,1,17,76,29,138,138,138,138,0,0,0,0,0,23,17172,7,400,0,0,0,0,1244,400,0,1276318792,1276318930,1276318930,attack
192.168.1.103,1862,75.126.111.74,80,6,6,369,5,640,40,61,161,48,40,128,476,194,35,20,65,29,35,25,65,31,100,100,100,100,0,0,0,0,0,6,369,5,640,1,1,0,0,248,204,0,1276318831,1276318931,1276318931,normal
192.168.56.1,52782,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,11,2,17,75,28,122,122,122,122,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318809,1276318931,1276318931,attack
192.168.56.1,53174,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,2,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318817,1276318931,1276318931,attack
